"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1258739598210953216","Fri May 08 12:44:41 +0000 2020","11","Hingga saat ini menurut Basuki Direktorat Jenderal Cipta Karya yang ditugaskan melaksanakan pembangunan IKN masih melakukan proses pematangan desain. Nah dulu said didu jg pernah nyinyir fitnah tantang pemidahan ibu kota .apa urusanan dia.? https://t.co/tOcDNw5vpF","1258739598210953216","","","in","Indonesia🇮🇩","0","3","8","https://twitter.com/RiriJreeng/status/1258739598210953216","1369062793","RiriJreeng"
"1258675949396275200","Fri May 08 08:31:46 +0000 2020","4","Di tengah keputusan memindahkan Ibu Kota Negara (IKN) dari Jakarta ke Kalimantan Timur Presiden Joko Widodo menandatangani Peraturan Presiden (Perpres) Nomor 60 tahun 2020 tentang Rencana Tata Ruang Kawasan Perkotaan. baca di https://t.co/l9pkd6Xzmq #Vivacoid #ibukota https://t.co/Tcib4Uc9re","1258675949396275200","https://pbs.twimg.com/media/EXe3GtPWAAAjHZv.jpg","","in","","2","1","3","https://twitter.com/VIVAcoid/status/1258675949396275200","41730943","VIVAcoid"
"1258290392639762433","Thu May 07 06:59:42 +0000 2020","0","[APA KABAR PROYEK PEMINDAHAN IBU KOTA NEGARA DI TENGAH PANDEMI?] Halo MIPA! Sejak pemerintahan Presiden Joko Widodo periode kedua bergulir pembahasan mengenai proyek pemindahan ibu kota negara (IKN) menjadi isu yang hangat untuk dibahas. https://t.co/xH2hgWVJuf","1258290392639762433","https://pbs.twimg.com/media/EXZYbyVU8AAuHUr.jpg","","in","Universitas Indonesia, Depok","0","2","0","https://twitter.com/bemFMIPAUI/status/1258290392639762433","236059964","bemFMIPAUI"
"1257905557119201280","Wed May 06 05:30:30 +0000 2020","63","Said Didu tiba2 menabuh genderang perang ke LBP. Dgn cara yg kurang ajar: Said Didu nuduh LBP lebih mementingkan keuntungan pribadi terkait pembangunan IKN (Ibu Kota Negara) baru yg dihubungkan seenak udelnya Said Didu dgn penanganan Covid19. Bodoh kan? https://t.co/k1iRx5TPKZ","1257905557119201280","","","in","Jakarta Capital Region, Indone","1","9","20","https://twitter.com/tailkoxyz/status/1257905557119201280","127932614","tailkoxyz"
"1257109840138104832","Mon May 04 00:54:51 +0000 2020","9","@msaid_didu menyoroti persiapan pemindahan ibu kota negara (IKN) dan menghubungkannya dengan penanganan COVID-19. Said menilai pemerintah lebih mementingkan peninggalan monumental ibu kota baru di atas permasalahan lainnya. #ShameOnLordLuhut https://t.co/zspZaJFPsa","1257111411001405440","","Coffee_K83","in","Massachusetts, USA","0","0","7","https://twitter.com/Coffee_K83/status/1257111411001405440","1092754646647562241","Coffee_K83"
"1258389709346099201","Thu May 07 13:34:21 +0000 2020","0","Pemerintah sedang membahas membangun ibu kota negara (IKN) baru di Kalimantan Timur. Rencana itu tertuang dalam RUU IKN yang masuk Prolegnas 2019-2024. https://t.co/KrNISTbvyG","1258389709346099201","","","in","Makassar","0","0","0","https://twitter.com/bukamatanews/status/1258389709346099201","1168870863518613505","bukamatanews"
"1258655563547725824","Fri May 08 07:10:45 +0000 2020","1","Menteri Perencanaan Pembangunan Nasional/Kepala Badan Perencanaan Nasional (Bappenas) Suharso Monoarfa memastikan pekerjaan fisik terkait Ibu Kota Negara (IKN) baru ditunda selama pandemi covid-19. Meski demikian https://t.co/JQTVOMrJL3","1258655563547725824","","","in","Jl. Gudang Peluru Raya B1/24a","0","0","1","https://twitter.com/propertynbank_/status/1258655563547725824","965504961978056704","propertynbank_"
"1256179494559367169","Fri May 01 11:11:44 +0000 2020","0","Ada wabah corona proyek ibu kota negara (IKN) disarankan ditunda dulu #BacotanBuruh #NegeriTergadaiUtang #BanpresPeduliRakyat #HariBuruh https://t.co/1JLVpeOlKa","1256179494559367169","","","in","Luwuk-Banggai","0","0","0","https://twitter.com/InfoLwk/status/1256179494559367169","2323993350","InfoLwk"
"1256183306451894274","Fri May 01 11:26:53 +0000 2020","0","Ada wabah corona proyek ibu kota negara (IKN) disarankan ditunda dulu https://t.co/kJCnGpDOUM","1256183306451894274","","","in","","0","0","0","https://twitter.com/mag_berita/status/1256183306451894274","1197765630964846592","mag_berita"
"1256179069537771520","Fri May 01 11:10:03 +0000 2020","3","Ada wabah corona proyek ibu kota negara (IKN) disarankan ditunda dulu https://t.co/QH5XtTM3PP #VirusCorona","1256179069537771520","","","in","Jakarta, Indonesia","0","0","0","https://twitter.com/KontanNews/status/1256179069537771520","43799886","KontanNews"
"1256205522367324162","Sat May 02 01:46:27 +0000 2020","0","@Samlawi_84 @WariorXman @Uki23 Di masa pandemi rakyat banyak yang lapar dan kehilangan pekerjaan. Untuk saat ini yg diperlukan rakyat adalah tercukupi kebutuhan pokok bukan ibukota baru. Apa urgensinya IKN bagi rakyat? Pemerataan pembangunan? Pemerataan pembangunan buat siapa?","1256399621431029760","","Samlawi_84","in","","0","1","0","https://twitter.com/warta_sidiq/status/1256399621431029760","2733902948","warta_sidiq"
"1259590045276594176","Sun May 10 23:38:43 +0000 2020","0","@kumparan Rencana tata ruang sifatnya dinamis dapat ditinjau setiap 5 tahun sekali dalam isu IKN mengapa tetap menyebut jakarta sebagai kawasan inti pemerintahan karena memang jakarta secara eksisting masih menjadi ibukota krn pemindahan ibukota ke kalimantan belum memiliki basis hukum","1259628968317050881","","kumparan","in","Jakarta, Indonesia","0","0","0","https://twitter.com/mohnuriman/status/1259628968317050881","73609335","mohnuriman"
