"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1237185375161876481","Tue Mar 10 01:15:53 +0000 2020","15","Korlabi: Ali Ngabalin Jangan Asal Jeplak Regulasi Mana Yang Sebut CEO IKN Hak Prerogatif Presiden? https://t.co/VbWkGGmWNi","1237185375161876481","","","in","Indonesia","1","4","10","https://twitter.com/geloraco/status/1237185375161876481","3319260420","geloraco"
"1237359796719767553","Tue Mar 10 12:48:59 +0000 2020","8","Kemarin Gempar Minta Sebagian Aset Negara di JUAL utk biaya Pembangunan IKN. Ini hari Ijinkan Asing KELOLA Aset Negara untuk mancing Pendanaan__ Mari Heningkan Cipta___","1237359796719767553","","","in","","0","1","6","https://twitter.com/umaralims/status/1237359796719767553","159430790","umaralims"
"1236540002831482881","Sun Mar 08 06:31:25 +0000 2020","22","Lihat dan Dengarkan Aspirasi Masyarakat Katim https://t.co/lf38lacRR4 Presiden Jokowi tidak boleh tutup mata dan telinga mengenai aspirasi masyarakat Kaltim terkait IKN. Jokowi harus arif dan bijaksana ucap @irwan_fecho dari @FPD_DPR. #ibukotanegarabaru https://t.co/d0Vkv8t1gf","1236540002831482881","https://pbs.twimg.com/media/ESkSlCUUEAAZ3g9.jpg","","in","","1","0","8","https://twitter.com/Demokrat_TV/status/1236540002831482881","284830933","Demokrat_TV"
"1236150685755826176","Sat Mar 07 05:00:01 +0000 2020","112","Joki itu cuma alat cukong. Sales yg dirias seolah Raja dgn segala kekuasaannya. Dia mangap buru2 soal IKN itu atas pesanan cukong yg mumet karena rugi banyak di DKI. Harus ada proyek pengganti pun demi kembali ke misi posisi si anak emas.","1236154616561012736","","UyokBack","in",".","3","4","43","https://twitter.com/UyokBack/status/1236154616561012736","907897495044317185","UyokBack"
"1236992328650252289","Mon Mar 09 12:28:48 +0000 2020","5","Istana Heran Publik Menolak Ahok Jadi Kandidat Kepala Otoritas IKN. KALAU PUBLIK MENOLAK PERTIMBANGKAN. KECUALI INGIN LENGSER! https://t.co/fFGYtXonBB https://t.co/MGtM3Y24Go","1236992328650252289","https://pbs.twimg.com/media/ESqt9f6UMAYBr9T.jpg","","in","Jakarta","0","1","0","https://twitter.com/Kanseulir/status/1236992328650252289","279312062","Kanseulir"
"1236490411796877312","Sun Mar 08 03:14:21 +0000 2020","1","Chemistry sprti yg di kasus RSSW kah ? No comment dech wl 'katanya' ada tanda tangan penetapan njop yg expired dan terkesan di paksakan. #BangsatBangsa Walahwalam. Selain Pegang Rahasia Chemistry Akan Jadi Alasan Jokowi Pilih Ahok Pimpin IKN Baru https://t.co/pGu2j3hOg7","1236490411796877312","","","in"," Jakarta, Indonesia","1","1","1","https://twitter.com/vharianT29/status/1236490411796877312","276891790","vharianT29"
"1234852519693647872","Tue Mar 03 14:45:57 +0000 2020","3","Kemenhub dan TNI AU berkoordinasi siapkan bandara baru penunjang IKN https://t.co/AjjWw5WdLy https://t.co/ghCIULxZKH","1234852519693647872","https://pbs.twimg.com/media/ESMT0l8X0AAfsJ-.jpg","","in","Jakarta, Indonesia","0","0","2","https://twitter.com/angkasareview/status/1234852519693647872","888010897980923904","angkasareview"
"1236610495139835905","Sun Mar 08 11:11:31 +0000 2020","31","Jusru kita lebih heran dan kaget ketika bapak menunjuk pak Ahok menjadi salah satu kandidatnya. Seolah Indonesia kehabisan stok orang yang lebih baik. Istana Heran Publik Menolak Ahok Jadi Kandidat Kepala Otoritas IKN https://t.co/ZPE9bLT9cS","1236610495139835905","","","in","DKI Jakarta, Indonesia","4","17","3","https://twitter.com/Ameeranti/status/1236610495139835905","1133199329487757312","Ameeranti"
"1237217436601966592","Tue Mar 10 03:23:17 +0000 2020","23","Pendapat Budiman Sudjatmiko soal Ahok Calon Kepala Badan Otorita IKN https://t.co/bRdGYIvgCI #Ahok lewat @jpnncom","1237217436601966592","","","in","Jakarta, Indonesia//","0","4","3","https://twitter.com/budimandjatmiko/status/1237217436601966592","183217247","budimandjatmiko"
"1236150685755826176","Sat Mar 07 05:58:43 +0000 2020","26","@UyokBack Studi kelayakan proyek properti komersil saja yang serius kredibel dan profesional minimum 6 bulan. Apalagi untuk IKN? Contoh FS kilat proyek KA Cepat Jkt-Bdg sekarang mangkrak karena terburu-buru...demi apa coba? https://t.co/SWNFXLOzuY","1236169387498864640","https://pbs.twimg.com/media/ESfBfSoUMAE7WwF.jpg","UyokBack","in","South East Asia","2","1","17","https://twitter.com/ZAEffendy/status/1236169387498864640","129750289","ZAEffendy"
