"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1217804156737478658","Thu Jan 16 13:41:51 +0000 2020","4","√ Sah...! RUU IKN RUU Cipta Lapangan Kerja dan RUU Perpajakan Masuk Prolegnas 2020 cc @fadjroeL @PedomanNEWS https://t.co/XNlkNyH0lx","1217804156737478658","","","in","DKI Jakarta - Indonesia","0","1","2","https://twitter.com/PEDOMAN_id/status/1217804156737478658","142217629","PEDOMAN_id"
"1218465551925874688","Sat Jan 18 09:30:00 +0000 2020","47","PNS pusat harus menyiapkan diri mulai dari sekarang. Sebab Presiden Joko Widodo (Jokowi) memastikan bahwa seluruh abdi negara khususnya yang bekerja di pemerintahan pusat akan hijrah ke ibu kota negara (IKN) baru di Kalimantan Timur (Kaltim) tahun 2024. https://t.co/J0m4azznAL","1218465551925874688","","","in","Bonn, Jerman","8","9","23","https://twitter.com/dw_indonesia/status/1218465551925874688","150581612","dw_indonesia"
"1216918891558912001","Tue Jan 14 03:04:07 +0000 2020","2","Halo guys! Presiden Republik Indonesia bapak @jokowi mengundang investor untuk pembangunan IKN di Kaltim. Ini tanggapan bang @irwan_fecho di @SINDOnews https://t.co/67aTFPCYoM #berpikir #bersuara #bertindak https://t.co/myXH2TIqzF","1216918891558912001","https://pbs.twimg.com/media/EONdRU1UEAAc1RU.jpg","","in","Kalimantan Timur","1","0","1","https://twitter.com/suara_irwan/status/1216918891558912001","992654911383846913","suara_irwan"
"1218107083599437824","Fri Jan 17 09:45:34 +0000 2020","0","Berapa Gaji Tony Blair sebagai Dewan Pengarah Pembangunan IKN? Nih Jawaban Jokowi https://t.co/lO5dpPFoLf https://t.co/kFHbepOR7S","1218107083599437824","https://pbs.twimg.com/media/EOeV7-JU4AALWkZ.jpg","","in","Jalan Kawi 11B, Kota Malang","0","0","2","https://twitter.com/radar_malang/status/1218107083599437824","528590547","radar_malang"
"1219223792209342472","Mon Jan 20 11:42:58 +0000 2020","55","Kementerian PAN-RB mencatat ada sekitar 118.000 aparatur sipil negara (ASN) atau PNS yang akan pindah ke ibu kota negara (IKN) tahun 2024. #IbuKotaBaru via @detikfinance https://t.co/4iS6Om8wNO","1219223792209342472","","","in","","10","8","16","https://twitter.com/detikcom/status/1219223792209342472","69183155","detikcom"
"1216916592124035072","Tue Jan 14 02:54:59 +0000 2020","0","Bukan bermaksud membela lord Luhut Beda lokasinya antaran IKN dgn usaha tambangnya.","1216916592124035072","","","in","Milky Way","0","0","1","https://twitter.com/DirtyHarryn/status/1216916592124035072","1019902297","DirtyHarryn"
"1218154923562610688","Fri Jan 17 12:55:40 +0000 2020","8","Presiden @jokowi memastikan semua aparatur sipil negara (ASN) pindah ke ibu kota negara (IKN) baru di Kalimantan Timur pada 2024 nanti. https://t.co/xZoTWNJ0qL","1218154923562610688","","","in","Jakarta, Indonesia","3","2","3","https://twitter.com/detikfinance/status/1218154923562610688","135795460","detikfinance"
"1218279233920946176","Fri Jan 17 21:09:38 +0000 2020","7","Presiden Jokowi mengatakan pemerintah akan menutup tambang-tambang ilegal yang berada di dekat maupun di wilayah ibu kota negara (IKN) yang baru. https://t.co/icTR2RpzvF","1218279233920946176","","","in","Jakarta, Indonesia","0","0","2","https://twitter.com/detikfinance/status/1218279233920946176","135795460","detikfinance"
"1219197037121540097","Mon Jan 20 09:56:39 +0000 2020","33","Menteri PAN-RB Tjahjo Kumolo mengatakan bahwa setiap ASN yang pindah ke IKN akan diberikan rumah dinas. Fasilitas pendidikan juga disiapka di ibu kota baru. #IbuKotaBaru via @detikfinance https://t.co/8amLysj0tk","1219197037121540097","","","in","","5","14","11","https://twitter.com/detikcom/status/1219197037121540097","69183155","detikcom"
"1219205008270426113","Mon Jan 20 10:28:20 +0000 2020","2","Kementerian PAN-RB mencatat ada 118.000 ASN yang akan pindah ke IKN. Ongkosnya ditanggung siapa? #IbuKotaBaru https://t.co/84XWnftnW7","1219205008270426113","","","in","Jakarta, Indonesia","2","1","2","https://twitter.com/detikfinance/status/1219205008270426113","135795460","detikfinance"
"1218785453022662656","Sun Jan 19 06:41:10 +0000 2020","1","apalagi mau bangun IKN. bener2 hutan tropis dibabat habis.","1218785453022662656","","","in","","0","0","0","https://twitter.com/SalimFarrah/status/1218785453022662656","1106534816030162945","SalimFarrah"
"1218172030488440836","Fri Jan 17 14:03:39 +0000 2020","1","Presiden Joko Widodo (Jokowi) memastikan semua PNS (Pegawai Negeri Sipil) atau ASN (Aparatur Sipil Negara) pindah ke ibu kota negara (IKN) baru di Kalimantan Timur. #KAMUHARUSTAU https://t.co/bzaW5JFcto","1218172030488440836","","","in","Jakarta","0","0","0","https://twitter.com/indozonemedia/status/1218172030488440836","350668803","indozonemedia"
"1216317572234149888","Sun Jan 12 11:14:41 +0000 2020","29","IKN Indonesia Baru Presiden Jokowi: New Engine of Development https://t.co/oe5hNWKgwC lewat @pedoman_id","1216317572234149888","","","in","Jakarta, Indonesia","0","0","4","https://twitter.com/fadjroeL/status/1216317572234149888","18158130","fadjroeL"
"1217822529357742080","Thu Jan 16 15:24:40 +0000 2020","0","@LeederOfThePack Ikn blog.","1217830033923985408","","AntiFragileRock","in","Canada","0","0","0","https://twitter.com/Name54377535/status/1217830033923985408","1047824106119356417","Name54377535"
"1216933626685739008","Tue Jan 14 04:02:40 +0000 2020","4","Pak Presiden @jokowi menyampaikan kalau IKN akan menjadi tempat pameran teknologi yang paling maju lho. mantap Jon. #indonesiamaju #ibukotabaru #beritautamanet Kunjungan ke UEA Presiden Jokowi Singgung Pemindahan Ibu Kota Indonesia via @beritautamanet https://t.co/6nGcpo9gj2","1216933626685739008","","","in","Bogor, Indonesia","0","0","1","https://twitter.com/beritautamanet/status/1216933626685739008","933380233335529472","beritautamanet"
"1217388501701779456","Wed Jan 15 10:10:11 +0000 2020","0","Presiden Jokowi mengungkapkan enam poin penting dalam membangun ibu kota negara (IKN) baru di Kecamatan Sepaku Kabupaten Penajam Paser Utara. Apa saja? https://t.co/Q41yHCugQg","1217388501701779456","","","in","DKI Jakarta, Indonesia","0","0","0","https://twitter.com/bukanhanyanama/status/1217388501701779456","292248695","bukanhanyanama"
"1218452185102467073","Sat Jan 18 09:54:55 +0000 2020","0","@siewkeat99 @__eizz jangan lupa datang ikn wad 11 :)","1218471824444416000","","charsiew_","in","","0","1","0","https://twitter.com/_0ompahloompa__/status/1218471824444416000","1009116631455260677","_0ompahloompa__"
