"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1261248963547508740","Fri May 15 10:56:00 +0000 2020","201","Said Didu menyebutkan Luhut ngotot agar Menkeu Sri Mulyani tidak mengganggu dana untuk pembangunan IKN baru. Didu menyatakan Luhut dinilai mementingkan keuntungan pribadi dan tidak memikirkan penanganan virus Corona. Simak penjelasan bu SNI ini biar jelas. Dasar DIDU Loe https://t.co/88tsseWQeh","1261248963547508740","https://pbs.twimg.com/ext_tw_video_thumb/1261248904005218304/pu/img/kwXiJBnCuH7qCmOh.jpg","","in","twitter.com","6","32","79","https://twitter.com/mulanbilqis/status/1261248963547508740","1138727688","mulanbilqis"
"1261311994700787713","Fri May 15 15:06:28 +0000 2020","156","Jadi clear ya saat ini tidak ada anggaran untuk IKN! Justru sebaliknya Pemerintah mengalihkan semua dana utk membantu rakyat terdampak covid-19 dan pemulihan ekonomi. Dan untuk Said Didu dkk ditonton videonya sampai habis biar tambah waras beropini! #KarantinaSaidDidu https://t.co/k2ybnLeq9M","1261311994700787713","https://pbs.twimg.com/ext_tw_video_thumb/1261311786671730690/pu/img/wAHaPYqn0LZeSSn6.jpg","","in","Make your own sandwich.","4","21","67","https://twitter.com/NayDonuts/status/1261311994700787713","1104398813844758528","NayDonuts"
"1261278651657547777","Fri May 15 12:53:58 +0000 2020","117","Sok tahunya said didu bahwa pemerintah lebih mementingkan Ibu kota baru drpd wabah covid 19 sepertinya didu mengarang bebas belum juga ada anggaran IKN sdh menfitnah luhut dng SMI kalau kritik itu berdasarkan data bukan katanya katanya itu namanya ngerumpi https://t.co/nlWW07aDBw","1261278651657547777","https://pbs.twimg.com/ext_tw_video_thumb/1261278312631898112/pu/img/kSSopDLV23BOkij2.jpg","","in","lokalisasi kelas teri","1","1","51","https://twitter.com/triwul82/status/1261278651657547777","2695463725","triwul82"
"1262377889749594113","Mon May 18 13:41:57 +0000 2020","128","Keterangan HA ini penting sbg salahsatu alat bukti keterangan saksi sekaligus fakta hukum bahwa benar pernyataan SD dlm wawancara itu sbgm yg dituduhkan dr soal uang smp ngotot soal ganggu dana IKN. Polisi Panggil Hersubeno Arief Terkait Kasus Said Didu https://t.co/kxBlo7cRx4","1262377889749594113","","","in","Jakarta Capital Region, Indonesia","0","5","20","https://twitter.com/muannas_alaidid/status/1262377889749594113","1415953428","muannas_alaidid"
"1263094669769969664","Wed May 20 13:27:35 +0000 2020","26","Semua sama di mata hukum. Baik Said Didu atau pak LBP. Hukum tdk blh takut pada keduanya. Tapi saat Said Didu mengatakan pak LBP memaksa Sri Mulyani menyediakan uang untuk IKN itu masalah (kebohongan). Padahal anggarannya memang belum ada. https://t.co/MHYZTkXiH1","1263099050095546368","https://pbs.twimg.com/ext_tw_video_thumb/1263098548855300098/pu/img/ZwyoyrHv3eWCxFeR.jpg","narkosun","in","Indonesia","0","2","5","https://twitter.com/narkosun/status/1263099050095546368","84221579","narkosun"
"1262361700361138177","Mon May 18 12:37:37 +0000 2020","20","Memang kebiasaan ngawur ditambah kebencian maka hasilnya omongan suka meracau. Kapan sadarnya pak? VIDEO | Asal Ngomong Dana IKN Said Didu Penuhi Panggilan Bareskrim https://t.co/wOPesyuvTi https://t.co/df6hHTOj1R","1262361700361138177","","","in","Indonesia","0","4","4","https://twitter.com/narkosun/status/1262361700361138177","84221579","narkosun"
"1262706951097446400","Tue May 19 11:29:31 +0000 2020","30","Alhmdllh....sudah buka puasakan??? Apapun menu nya..pasti terasa Nikmatnya... Gulai kpala ikn jambal...oreg tempe kering..dan bakwan.... Yg blm maem....hayuuu #KulinerNusantara https://t.co/NZateh0mDY","1262706951097446400","https://pbs.twimg.com/media/EYYJKwGUYAAdhdb.jpg","","in","","0","12","2","https://twitter.com/KikiHakim4/status/1262706951097446400","1199707596438949888","KikiHakim4"
"1262381382430535682","Mon May 18 13:55:50 +0000 2020","12","Supaya gak dijulukin sebagai pembohong yg menggoreng isu IKN &amp; dibenturkan dengan Pandemi Covid19. Heyy Said Didu tolong disimak dengan seksama pernyataan Bu SMI. Jika masih nyinyir masalah IKN berarti anda adalah tukang Hoax ter-ngeyel seantero tuiter https://t.co/fubKY5lbmB https://t.co/93rmaXKQKj","1262381382430535682","https://pbs.twimg.com/tweet_video_thumb/EYThKuUXkAUVWB9.jpg","","in","Indonesia","0","7","4","https://twitter.com/andy_nomicin/status/1262381382430535682","974476400211079168","andy_nomicin"
"1261307172035551238","Fri May 15 14:47:18 +0000 2020","21","Kalau loe mau kritik berdasarkan apa? Wong IKN Baru masih sebatas RENCANA lagi pula Pemerintah sudah merelokasi APBN dialihkan ke penanganan pandemi Covid19. Trus apa yg loe kritisi? Dah pak Polisi #KarantinaSaidDidu aja. https://t.co/4Y0cLgzsnz","1261307172035551238","","","in","Jakarta Capital Region, Indone","0","4","8","https://twitter.com/tailkoxyz/status/1261307172035551238","127932614","tailkoxyz"
"1260796980164345856","Thu May 14 04:59:59 +0000 2020","8","KARYA KREATIF PELAJAR JURUSAN SENI KRAF KAYU INSTITUT KRAF NEGARA Tawaran Pengajian Diploma Sijil dan Sijil Kemahiran Malaysia dalam Seni Kraf. JOM MASUK IKN! ‍‍ Layari https://t.co/opJHLTU2vA untuk keterangan lanjut dan pendaftaran online. #institutkrafnegara #julyintake https://t.co/g1CFKxuAWY","1260796980164345856","https://pbs.twimg.com/media/EX9AJy-U4AAqEIU.jpg","","in","TEMPLER PARK, RAWANG","0","0","5","https://twitter.com/MyIkn/status/1260796980164345856","1161492249424871427","MyIkn"
